"|","time","accelerations__z","accelerations__y","accelerations__x","rotation__gamma","rotation__alpha","rotation__beta","uuid","location__longitude","location__latitude"
"-JlfxAOHIf6Ji3WQtxF_","1427740341974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533155","47.4727135"
"-JlgGlmCzVO1aoriOMM2","1427745741016","5.886145114898682","4.313753128051758","0.31783026456832886","0.39441415667533875","0.2617887258529663","0.22130869328975677","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgVphcaG1cwfNe78qK","1427749688835","10.220248222351074","3.02986216545105","-4.7836151123046875","1.3121395111083984","-0.018908444792032242","-1.679922103881836","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlfyUNHh70aT_SVO-kc","1427740685974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgWTyrclTy0T0g6Icv","1427749857889","9.451709747314453","8.015189170837402","6.69837760925293","-0.8562062978744507","-0.6980145573616028","0.30599722266197205","38d53a4c-e37d-4408-b0fa-a05f958f0b1c","",""
"-JlgKcwNUZQxECUQCrUD","1427746752925","8.725667953491211","7.64109468460083","10.498574256896973","-1.1648666858673096","-0.8556736707687378","-1.6703346967697144","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgW4M9lLBhRPEB-X5M","1427749752933","9.512163162231445","5.756259441375732","-1.0073603391647339","-0.05965480953454971","0.04554005712270737","-0.6285060048103333","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgIA1HTw2x3-22cXeJ","1427746106589","9.238027572631836","4.19224739074707","-1.987187385559082","-0.011717909015715122","-0.05459480360150337","-0.12410330772399902","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgTp8g2zcSGOVrOeCR","1427749163132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgIVl5TFnrpa80DBt4","1427746195601","6.962936878204346","4.899135112762451","1.592742681503296","-0.3797667920589447","0.4940163791179657","0.24288029968738556","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgUwp-_I_cve6Pexic","1427749455835","10.023324966430664","10.421361923217773","0.6015431880950928","1.5180017948150635","0.08655273914337158","-0.3749730885028839","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlfyJsQTXL5tQ07bKu1","1427740642975","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgLUX6Wl_Qu6D1r1ob","1427746976525","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgJu3MH2oukKJDxikS","1427746560925","5.654505729675293","1.722628116607666","5.669469833374023","-1.4615428447723389","0.23036344349384308","0.29827404022216797","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgL_OC5ulOhQfRXuHq","1427747000529","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-Jlfxp89Qp-auUowP22g","1427740512974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
